question,answer
متى تأسست الأردن؟,"تأسست المملكة الأردنية الهاشمية عام 1946."
أين تقع الأردن؟,"تقع الأردن في الشرق الأوسط بين السعودية والعراق وسوريا وفلسطين."
ما مساحة الأردن؟,"تبلغ مساحة الأردن حوالي 89,342 كيلومتر مربع."
كم عدد محافظات الأردن؟,"عدد محافظات الأردن 12 محافظة."
ما هي محافظات الأردن؟,"عمان، الزرقاء، إربد، البلقاء، مادبا، الكرك، الطفيلة، معان، العقبة، المفرق، جرش، عجلون."
ما مساحة محافظة عمان؟,"تبلغ مساحة محافظة عمان حوالي 7580 كم مربع."
ما معالم محافظة عمان؟,"من معالمها المدرج الروماني، جبل القلعة، المتحف الأردني، المسرح الروماني."
ما مساحة محافظة الزرقاء؟,"تبلغ مساحة محافظة الزرقاء حوالي 4080 كم مربع."
ما معالم محافظة الزرقاء؟,"من معالمها قصر شبيب ومدينة الأزرق القريبة منها."
ما مساحة محافظة إربد؟,"تبلغ مساحة محافظة إربد حوالي 1572 كم مربع."
ما معالم محافظة إربد؟,"من معالمها أم قيس، جامعة اليرموك، والمواقع الأثرية الرومانية."
ما مساحة محافظة البلقاء؟,"تبلغ مساحة محافظة البلقاء حوالي 1120 كم مربع."
ما معالم محافظة البلقاء؟,"من معالمها مدينة السلط التاريخية ومتحف السلط."
ما مساحة محافظة مادبا؟,"تبلغ مساحة محافظة مادبا حوالي 940 كم مربع."
ما معالم محافظة مادبا؟,"من معالمها خريطة مادبا الفسيفسائية وجبل نيبو."
ما مساحة محافظة الكرك؟,"تبلغ مساحة محافظة الكرك حوالي 3495 كم مربع."
ما معالم محافظة الكرك؟,"من معالمها قلعة الكرك التاريخية ومتحف الكرك."
ما مساحة محافظة الطفيلة؟,"تبلغ مساحة محافظة الطفيلة حوالي 2209 كم مربع."
ما معالم محافظة الطفيلة؟,"من معالمها حمامات عفرا وضانا الطبيعية."
ما مساحة محافظة معان؟,"تبلغ مساحة محافظة معان حوالي 33163 كم مربع."
ما معالم محافظة معان؟,"من معالمها البتراء ووادي رم."
ما مساحة محافظة العقبة؟,"تبلغ مساحة محافظة العقبة حوالي 690 كم مربع."
ما معالم محافظة العقبة؟,"من معالمها خليج العقبة، المنتجعات السياحية، والمدينة الإسلامية القديمة أيلة."
ما مساحة محافظة المفرق؟,"تبلغ مساحة محافظة المفرق حوالي 26551 كم مربع."
ما معالم محافظة المفرق؟,"من معالمها قصر عمرة الأثري."
ما مساحة محافظة جرش؟,"تبلغ مساحة محافظة جرش حوالي 402 كم مربع."
ما معالم محافظة جرش؟,"من معالمها مدينة جرش الأثرية الرومانية."
ما مساحة محافظة عجلون؟,"تبلغ مساحة محافظة عجلون حوالي 412 كم مربع."
ما معالم محافظة عجلون؟,"من معالمها قلعة عجلون ومحمية عجلون الطبيعية."
ما هي أكلة المنسف؟,"المنسف هو الطبق الوطني الأردني. المكونات: لحم الغنم أو الدجاج، الأرز، الجميد، بهارات، مكسرات. تاريخ الأكلة: يُعتقد أن المنسف موجود منذ أكثر من 500 سنة ويعكس التراث البدوي الأردني. فيديو التحضير: https://www.youtube.com/watch?v=qyeo2t025e8. أشهر المطاعم: مطعم القرية الأردنية (عمان)، مطعم نبع الأردن (عمان)، مطعم الطاسة (إربد)."
ما هي أكلة المقلوبة؟,"المقلوبة هي طبق أرز مع دجاج أو لحم وخضار (باذنجان، بطاطا). تاريخ الأكلة: المقلوبة متداولة منذ قرون في بلاد الشام الأردنية والفلسطينية. فيديو التحضير: https://www.youtube.com/watch?v=cTc_4yudLUs. أشهر المطاعم: مطعم أم علي (عمان)، مطعم المأكولات الشرقية (الزرقاء)."
ما هي أكلة الزرب؟,"الزرب طبق بدوي أصيل من لحم أو دجاج وخضار وبهارات يُطهى عادة تحت الأرض أو على نار هادئة. تاريخ الأكلة: معروف منذ أكثر من 200 سنة في جنوب الأردن. فيديو: https://www.youtube.com/watch?v=q6HGv6fNt3I. أشهر المطاعم: زرب النصار (عمان)، مطعم أصل الزرب (سحاب)."
ما هي الكنافة؟,"الكنافة هي حلوى شرقية محبوبة، المكونات: عجينة الكنافة، جبن أو قشطة، شيرة (شراب السكر)، فستق. تاريخ الأكلة: تعود أصولها إلى المطبخ الشامي منذ أكثر من 400 سنة. فيديو التحضير: https://www.youtube.com/watch?v=DB_buxtQLEc. أشهر حلويات: حلويات شامي (عمان)، حلويات الريحان (جرش)."
ما هي المكمورة؟,"المكمورة أكلة أردنية تقليدية تجمع دجاج أو لحم مع بصل وخضار وتُخبز بطريقة خاصة. تاريخ الأكلة: تراث شعبي موجود منذ أكثر من 150 سنة. فيديو: https://www.youtube.com/watch?v=ekkKSM577eI. أشهر المطاعم: مطعم البلد (الكرك)، مطعم الطاسة (إربد)."
ما هو المطبق؟,"المطبق هو عجين محشو باللحم أو الخضار ومطهو بطريقة مطوية. تاريخ الأكلة: المطبق متداول في جنوب الأردن منذ أكثر من 100 سنة. فيديو مرجعي: https://www.youtube.com/watch?v=sRLC07sSjQU. أشهر المطاعم: مطعم البادية الأردنية (معان)، مطعم الطاسة (إربد)."
ما هي الأكلات المشهورة في الأردن؟,"الأكلات المشهورة في الأردن تشمل: المنسف، المقلوبة، الزرب، الكنافة، والمطبق. هل تريد فيديو كيفية التحضير؟ أخبرني 😄"
ما هي الفعاليات المشهورة في الأردن؟,"الأماكن والفعاليات المشهورة في الأردن تشمل:
1. وادي رم – استكشاف الجبال الرملية الحمراء، ركوب الجمال، مشاهدة النجوم.
2. البحر الميت – السباحة في الماء الملحي، الطين العلاجي، الاسترخاء على الشواطئ.
3. البتراء – زيارة المدينة الوردية، المشي في السيق، تصوير المعالم الأثرية.
4. جرش – حضور المهرجانات الرومانية، مشاهدة المسرحيات والحفلات الموسيقية.
5. جبل نيبو – مشاهدة غروب الشمس، التصوير الفوتوغرافي، زيارة المعالم الدينية.
6. العقبة – الغوص والسنوركلينغ، رحلات القوارب، التزلج على الماء.
7. مادبا – مشاهدة الخرائط الفسيفسائية، جولات ثقافية، زيارة الكنائس القديمة.
8. عجلون – التنزه في المحميات الطبيعية، ركوب الدراجات الجبلية، مشاهدة الغابات.
9. الطفيلة – رحلات المغامرة، تسلق الجبال، زيارة المواقع التاريخية.
10. عمان – زيارة المدرج الروماني، التسوق، تجربة المطاعم والمقاهي
Jordan_Archeology,ما هو سبيل الحوريات؟,"مبنى روماني عام في وسط البلد بعمان كان يستخدم لتوزيع المياه وتزيين المدينة."
Jordan_Archeology,ما هي قلعة الشوبك (مونتريال)؟,"قلعة بناها الصليبيون في منطقة نائية، وتشتهر بوجود نفق مائي سري ينزل لعمق الجبل."
Jordan_Culture,ما هي الدبكة الأردنية؟,"رقصة فلوكلورية جماعية تشابكية، تعبر عن الفرح والوحدة، وتؤدى في الأعراس والمناسبات الوطنية."
Jordan_Culture,ما هو المهباش؟,"أداة خشبية لطحن القهوة يدوياً، ولصوت الطحن فيها إيقاع موسيقي يعتبر رمزاً للكرم ودعوة الضيوف."
Jordan_Culture,ما هي الربابة؟,"آلة موسيقية وترية بدوية قديمة بويتر واحد، تستخدم لمرافقة الشعر النبطي والقصيد."
Jordan_Culture,ما هو الثوب الأردني (المدرقة)؟,"الزي التقليدي للمرأة الأردنية، ويختلف تطريزه ولونه حسب المنطقة (السلطي، الكركي، المعاني، الرمثاوي)."
Jordan_Culture,ما هو الشماغ الأردني؟,"غطاء الرأس التقليدي للرجال، لونه أحمر وأبيض، ويرمز للهوية الوطنية والجيش العربي."
Jordan_Culture,ما هي 'الجاهة'؟,"عرف عشائري أردني لطلب يد العروس، حيث يذهب وجهاء عائلة العريس لطلبها من عائلة العروس رسمياً."
Jordan_Culture,ما هي 'العطوة'؟,"هدنة أمنية عشائرية تعطى بين المتخاصمين لحين حل المشكلة، وهي جزء من القضاء العشائري الأردني."
Jordan_Culture,ما هو بيت الشعر؟,"خيمة البدو التقليدية المصنوعة من شعر الماعز الأسود، وتتميز بمقاومتها للمطر والحرارة."
Jordan_Culture,ما هي السامر؟,"فن غنائي ورقص بدوي يؤديه الرجال في صف واحد، ويعتمد على التصفيق والشعر الارتجالي."
Jordan_Culture,من هو عرار؟,"مصطفى وهبي التل، شاعر الأردن الأول، الذي تغنى بتراب الوطن والفقراء والبسطاء."
Jordan_Economy,ما هي أهم الثروات الطبيعية في الأردن؟,"الفوسفات والبوتاس (من البحر الميت) والصخر الزيتي."
Jordan_Economy,بماذا يرتبط الدينار الأردني؟,"الدينار الأردني مرتبط بالدولار الأمريكي بسعر صرف ثابت (1 دينار = 1.41 دولار) منذ عام 1995."
Jordan_Economy,ما هي شركة البوتاس العربية؟,"من أكبر الشركات في العالم لإنتاج البوتاس، وتقع مصانعها في منطقة البحر الميت."
Jordan_Economy,ما هو ميناء العقبة؟,"المنفذ البحري الوحيد للأردن، تمر عبره معظم مستوردات وصادرات المملكة."
Jordan_Economy,ما هو مشروع العبدلي؟,"مشروع تطوير عقاري ضخم في عمان يعتبر الوسط التجاري الجديد (New Downtown) للعاصمة."
Jordan_Economy,ما هي السياحة العلاجية في الاقتصاد؟,"يعتبر الأردن المقصد الأول في الشرق الأوسط للسياحة العلاجية، وتدر دخلاً كبيراً للاقتصاد."
Jordan_Economy,ما هي منطقة الملك حسين للأعمال؟,"مجمع أعمال متطور في عمان يضم مقرات كبرى الشركات العالمية والشركات الناشئة."
Jordan_Economy,ما هو الغاز الصخري؟,"الأردن يمتلك احتياطيات ضخمة من الصخر الزيتي والغاز في منطقة الريشة."
Jordan_Economy,ما هي الملكية الأردنية؟,"الناقل الجوي الوطني للأردن، تأسست عام 1963، وتلقب بـ 'سفير الأردن الطائر'."
Jordan_Economy,ما هو مجمع الملك حسين للأعمال؟,"منطقة حرة واستثمارية في عمان تجذب شركات التكنولوجيا العالمية."
Jordan_Food_More,ما هي الرشوف؟,"أكلة شعبية شتوية تتكون من جريش القمح، العدس، والجميد، وتؤكل ساخنة."
Jordan_Food_More,ما هي اللزاقيات؟,"حلوى أردنية تقليدية عبارة عن خبز رقيق يخبز على الصاج ويغطى بالسمن والسكر أو العسل."
Jordan_Food_More,ما هي الكعاكيل (أو الجعاجيل)؟,"أكلة شعبية في شمال الأردن تتكون من كرات عجين مطبوخة باللبن أو مرق العدس."
Jordan_Food_More,ما هي الهريسة الأردنية؟,"حلوى شعبية تصنع من السميد والسمن والقطر، وتزين باللوز، وتشتهر محلاتها في وسط البلد."
Jordan_Food_More,ما هي وربات القشطة؟,"حلوى رمضانية شهيرة تتكون من طبقات عجين محشوة بالقشطة الطازجة والقطر."
Jordan_Food_More,ما هو شراب التمر الهندي؟,"مشروب شعبي يشتهر باعة متجولون ببيعه في شوارع عمان القديمة بملابسهم التقليدية."
Jordan_Food_More,ما هي صاجية اللحمة؟,"طريقة طبخ للحم في مقلاة كبيرة (الصاج) على الحطب، وتعتبر طقساً أساسياً في الرحلات."
Jordan_Food_More,ما هو الجيد (Jameed)؟,"لبن ماعز مجفف ومملح على شكل كرات حجرية، وهو المكون الأساسي لعمل المنسف."
Jordan_Food_More,ما هي السمنة البلدية؟,"دهن حيواني يصنع منزلياً ويضاف للأكل الحلويات لإعطاء نكهة دسمة ومميزة."
Jordan_Food_More,ما هو الزعتر البلدي؟,"خلطة إفطار أساسية تتكون من الزعتر المجفف، السمسم، والسماق، وتؤكل مع زيت الزيتون."
Jordan_Cities,بماذا تشتهر مدينة الفحيص؟,"مدينة ذات أغلبية مسيحية، تشتهر بمهرجان الفحيص واحتفالات عيد الميلاد وإضاءة الشجرة."
Jordan_Cities,بماذا تشتهر مدينة المفرق؟,"تعتبر عقدة المواصلات الدولية للأردن مع العراق وسوريا، وتضم قاعدة الملك حسين الجوية."
Jordan_Cities,بماذا تشتهر مدينة الرمثا؟,"بموقعها الحدودي، الشعر الشعبي، والتجارة البينية، وأغاني الأعراس التراثية."
Jordan_Cities,ما هي الأغوار؟,"منطقة منخفضة ودافئة (سلة غذاء الأردن)، تنتج الخضار والفواكه (خاصة الموز والحمضيات) طوال العام."
Jordan_Cities,ما هي مدينة سحاب؟,"مدينة صناعية كبرى شرق عمان، تضم أكبر مدينة صناعية ومقبرة إسلامية."
Jordan_Cities,ما هو مخيم البقعة؟,"أكبر مخيم للاجئين الفلسطينيين في الأردن، ويعد سوقاً تجارياً نشطاً جداً."
Jordan_Cities,أين تقع جامعة مؤتة؟,"تقع في محافظة الكرك، ولها جناح عسكري وجناح مدني."
Jordan_Cities,ما هي أم قيس (جدارا)؟,"مدينة في أقصى الشمال تطل على 3 دول (الأردن، سوريا، فلسطين) وبحيرة طبريا."
Jordan_Cities,ما هي حسبة وسط البلد؟,"أقدم وأكبر سوق للخضار والفواكه الطازجة في وسط عمان."
Jordan_Cities,ما هو شارع الوكالات؟,"شارع مخصص للمشاة فقط في منطقة الصويفية بعمان، يضم ماركات عالمية."
Religious_Sites,ما هو مقام النبي أيوب؟,"مقام ديني يقع في السلط، ويقصده الزوار للتبرك والدعاء."
Religious_Sites,ما هو مقام النبي يوشع؟,"يقع في السلط على تلة مرتفعة تطل على الأغوار وفلسطين."
Religious_Sites,أين تقع شجرة البقيعاوية؟,"في الصحراء الشرقية، ويعتقد أن الرسول محمد (ص) استظل تحتها أثناء رحلته للشام."
Religious_Sites,ما هي مقامات الصحابة في المزار الجنوبي؟,"أضرحة قادة معركة مؤتة: جعفر الطيار، عبد الله بن رواحة، وزيد بن حارثة."
Religious_Sites,ما هي كنيسة سيدة الجبل؟,"كنيسة في عنجرة (عجلون) معتمدة من الفاتيكان كموقع حج مسيحي."
Religious_Sites,ما هو جبل نيبو دينياً؟,"المكان الذي وقف عليه النبي موسى ورأى الأرض المقدسة، ويعتقد أنه توفي ودفن قربه."
Religious_Sites,أين يقع كهف المسيح؟,"في منطقة عراق الأمير، ويعتقد أن السيد المسيح لجأ إليه."
Religious_Sites,ما هو مسجد الحسيني؟,"أقدم مسجد في وسط البلد بعمان، بني على أنقاض مسجد أموي قديم، ويتميز بنمطه المعماري."
Religious_Sites,ما هو مسجد الملك حسين؟,"أكبر مساجد الأردن حالياً، يقع في منطقة دابوق، ويتميز بفخامته وموقعه المرتفع."
Religious_Sites,ما هي الكنيسة البيزنطية في البتراء؟,"كنيسة أثرية اكتشفت في البتراء وتتميز بأرضيات فسيفسائية محفوظة بشكل مذهل."
Modern_Life,ما هو يوم الشجرة؟,"يوم وطني في 15 كانون الثاني يتم فيه زراعة الأشجار في جميع أنحاء المملكة."
Modern_Life,ما هي القرية العالمية في عمان؟,"مهرجان صيفي كان يقام يعرض ثقافات ومنتجات دول العالم (متوقف حالياً)."
Modern_Life,ما هو متحف الدبابات الملكي؟,"متحف عسكري عالمي في عمان يعرض مئات الدبابات ويروي التاريخ العسكري للأردن."
Modern_Life,ما هي بوليفارد العبدلي؟,"ممشى سياحي عصري محاط بالفنادق والمطاعم، تقام فيه فعاليات موسمية."
Modern_Life,ما هو تطبيق سند؟,"التطبيق الحكومي الرسمي للخدمات الرقمية والهوية الرقمية في الأردن."
Modern_Life,ما هي شركة 'طماطم'؟,"شركة أردنية ناشئة تعتبر الناشر الأول لألعاب الموبايل في العالم العربي."
Modern_Life,ما هو مركز الحسين للسرطان؟,"من أفضل مراكز علاج السرطان في الشرق الأوسط، ويقدم خدماته لمرضى من كل المنطقة."
Modern_Life,ما هو مهرجان عمان السينمائي؟,"مهرجان دولي سنوي يدعم صناعة الأفلام والمخرجين الأردنيين والعرب."
Modern_Life,ما هي أوركسترا المعهد الوطني للموسيقى؟,"فرقة موسيقية أردنية محترفة تقدم حفلات موسيقية عالمية وعربية."
Modern_Life,ما هو راديو روتانا/هلا/مزاج؟,"من أشهر إذاعات الـ FM في الأردن التي يستمع لها الناس في السيارات صباحاً."
Trivia,كم عدد لواءات الأردن؟,"يوجد في الأردن 51 لواء موزعة على المحافظات."
Trivia,ما هو الرمز البريدي للأردن؟,"لكل منطقة رمز خاص، لكن رمز وسط عمان هو 11118."
Trivia,ما هو مفتاح خط الأردن الدولي؟,"+962"
Trivia,ما هي أطول سارية علم في الأردن؟,"سارية رغدان (126 متر) كانت الأطول في العالم لفترة، وتحمل علماً ضخماً."
Trivia,هل ينزل الثلج في الأردن؟,"نعم، خاصة في المرتفعات (عجلون، الشوبك، غرب عمان) لعدة أيام في الشتاء."
Trivia,ما هو الحيوان الوطني (غير الطائر)؟,"المها العربي هو الحيوان الذي يرمز للحياة البرية في الأردن."
Trivia,ما هو وادي النمل؟,"وادي صخري في البتراء يتميز بتشكيلات صخرية تشبه مساكن النمل."
Trivia,من هم الشركس في الأردن؟,"مكون رئيسي من النسيج الأردني، هاجروا من القوقاز، ولهم دور كبير في تأسيس عمان والحرس الملكي."
Trivia,ما هو سوق الجمعة؟,"سوق شعبي ضخم للملابس المستعملة (البالة) يقام في منطقة المحطة أو راس العين."
Trivia,ما هي كلمة 'يا هلا'؟,"أشهر عبارة ترحيب أردنية تقال للضيف، وتعني 'أهلاً بك كأهلنا'."
